# source_date: 2026-07-22
# source_report: wrk_docs/2026.07.22 - M-CAL v3 reference-panel derivation report.md
# residual_db is anchor minus rendered ferro/reference gap; blank means unmeasurable.
# shipped_db lets comparisons remove intentional PROGRAM_TRIM_DB changes.
program,reference,residual_db,shipped_db,guard_excluded
90,sc55,+2.61,2.0,false
90,yxg,+1.51,2.0,false
91,sc55,+1.58,5.0,false
91,yxg,+3.03,5.0,false
92,sc55,-1.89,3.0,false
92,yxg,-9.76,3.0,false
93,sc55,+5.20,-5.0,true
93,yxg,+1.73,-5.0,true
94,sc55,+3.33,0.0,false
94,yxg,+2.29,0.0,true
95,sc55,+2.44,0.0,false
95,yxg,-5.85,0.0,false
96,sc55,-5.99,0.0,true
96,yxg,-5.20,0.0,true
97,sc55,+8.35,0.0,true
97,yxg,+6.28,0.0,true
98,sc55,-8.74,0.0,true
98,yxg,-11.61,0.0,false
99,sc55,+8.19,0.0,false
99,yxg,+4.52,0.0,false
100,sc55,+1.52,0.0,false
100,yxg,-2.37,0.0,true
101,sc55,-6.99,0.0,false
101,yxg,+1.50,0.0,true
102,sc55,+0.36,0.0,true
102,yxg,+0.07,0.0,true
103,sc55,+11.86,0.0,true
103,yxg,+3.19,0.0,false
104,sc55,,0.0,true
104,yxg,,0.0,true
105,sc55,,0.0,true
105,yxg,,0.0,true
106,sc55,,0.0,true
106,yxg,,0.0,true
107,sc55,+9.57,0.0,true
107,yxg,-0.08,0.0,true
108,sc55,+1.48,0.0,true
108,yxg,,0.0,true
109,sc55,-5.13,0.0,true
109,yxg,-6.88,0.0,true
110,sc55,-6.91,0.0,false
110,yxg,-8.18,0.0,false
111,sc55,+0.02,0.0,false
111,yxg,+0.88,0.0,false
112,sc55,+5.57,0.0,true
112,yxg,+8.93,0.0,true
113,sc55,-3.59,0.0,true
113,yxg,+1.78,0.0,true
114,sc55,-6.90,0.0,true
114,yxg,-1.45,0.0,true
115,sc55,,0.0,true
115,yxg,,0.0,true
116,sc55,+6.03,0.0,true
116,yxg,,0.0,true
117,sc55,-5.44,0.0,true
117,yxg,,0.0,true
118,sc55,,0.0,true
118,yxg,,0.0,true
119,sc55,+0.51,0.0,false
119,yxg,+3.42,0.0,false
120,sc55,,0.0,true
120,yxg,,0.0,true
121,sc55,,0.0,true
121,yxg,,0.0,true
122,sc55,-8.98,0.0,false
122,yxg,-7.42,0.0,false
123,sc55,,0.0,true
123,yxg,,0.0,true
124,sc55,-3.18,0.0,false
124,yxg,-12.97,0.0,false
125,sc55,-15.21,0.0,false
125,yxg,-15.95,0.0,false
126,sc55,-10.96,0.0,false
126,yxg,-3.93,0.0,false
127,sc55,,0.0,true
127,yxg,,0.0,true
